dataset_size, epochs, neurons, simple_lstm_train_time, simple_lstm_prediction_time, bidirectional_lstm_train_time, bidirectional_lstm_prediction_time, stacked_lstm_training_time, stacked_lstm_prediction_time, simple_train_mae, simple_test_mae, bidirectional_train_mae, bidirectional_test_mae, stacked_train_mae, stacked_test_mae, simple_train_mse, simple_test_mse, bidirectional_train_mse, bidirectional_test_mse, stacked_train_mse, stacked_test_mse
2000,10,5,5.076437439000003,0.041594927000005555,3.471032674,0.04775420599999336,11.471270882000013,0.05078755299999216,5621827.999796447,5328153.732452076,5621828.000266193,5328153.727028277,5621827.994063661,5328153.722701283,268110407717127.38,180204339469176.97,268110407531376.12,180204339169904.53,268110407369586.6,180204339072436.53
4000,10,5,2.626548671000002,0.04454810300000034,3.0769002739999998,0.04603878500000036,6.0799743240000055,0.052917106999998964,2750791.5499956757,3448586.8656867202,2750791.5481226104,3448586.8632804854,2750791.549188626,3448586.862743677,78705229418681.44,143788153792979.03,78705229412027.81,143788153783815.8,78705229554623.34,143788153892424.12
8000,10,5,3.7365505669999983,0.06002273200000019,4.679216087999997,0.06389434200000466,13.853424767,0.07589117700000259,2740586.790112917,3323608.426347273,2740586.779351967,3323608.4165436043,2740586.7880390054,3323608.421520323,84306100044734.3,342155379333710.4,84306099922756.62,342155379023798.3,84306099890241.53,342155378902031.6
16000,10,5,5.939791049,0.08788145400000147,7.808575455999996,0.09269358099999891,14.039886023000001,0.12488580999999499,2880228.472083892,2507494.366175601,2880228.470685878,2507494.363936707,2880228.470042959,2507494.358802804,165441647822218.9,66074289871921.86,165441647799353.53,66074289848867.71,165441647774265.3,66074289789002.02
32000,10,5,10.852966002999999,0.14412697800000274,13.988562144,0.4500292979999969,24.478299274999998,0.22050575400000128,2828917.7101107053,2794071.3234381843,2828917.7130699023,2794071.3264905596,2828917.7040210175,2794071.317166136,141512320117785.75,164665149065408.97,141512320121954.5,164665149068472.62,141512320069403.38,164665149014011.03
2000,20,5,3.691269441000003,0.16859533599999565,3.2231284500000044,0.2831935469999962,6.365928540000006,0.7907392410000114,2921986.545598836,3206241.226839095,2921986.545880822,3206241.213090948,2921986.542991723,3206241.2216647207,106971349846492.19,92137621002143.16,106971349511836.0,92137620314150.3,106971349785982.77,92137620881386.05
4000,20,5,3.8621957709999997,0.04426392699999937,4.952805595000001,0.04546393600000087,8.822550588999999,0.05355405099999899,2750791.5482412255,3448586.8650050424,2750791.5487891412,3448586.866788683,2750791.549793838,3448586.8715302707,78705229330218.48,143788153721014.47,78705229232974.17,143788153657075.53,78705228974521.28,143788153517575.2
8000,20,5,6.239066564999998,0.05842942800000017,11.530519631999997,0.06272962999999976,14.129878801000004,0.07976588799999718,2740586.780416057,3323608.4177633603,2740586.786119088,3323608.423090271,2740586.7878495716,3323608.4167939704,84306099954917.84,342155379197850.4,84306099891694.69,342155378869208.6,84306099757430.28,342155378562875.1
16000,20,5,10.737510811,0.08643534300000155,14.138638271000001,0.09098407700000166,24.68762495099999,0.12684765899999206,2880228.471820451,2507494.3617192195,2880228.471168621,2507494.366081881,2880228.473738191,2507494.3629034394,165441647786688.03,66074289814336.29,165441647759007.25,66074289814582.16,165441647698430.12,66074289696805.04
32000,20,5,20.791665255999998,0.14970357299999648,26.779791902999996,0.44375946300000635,46.075800431999994,0.2219714109999984,2828917.708755381,2794071.3222677624,2828917.7132858085,2794071.3268039166,2828917.713231684,2794071.326778933,141512320064619.22,164665149028529.47,141512320096752.88,164665149052184.0,141512320059930.03,164665149025899.4
